software_name,file_name,file_count,internal_ids
0xInfection_TIDoS-Framework,__init__.py,12,"1950,1887,1889,1891,1893,1895,1904,1906,1908,1910,1912,1922"
0xInfection_TIDoS-Framework,Crawler.py,2,"1991,1971"
0xInfection_TIDoS-Framework,subdom.py,2,"1986,1966"
0xInfection_TIDoS-Framework,Form.py,2,"1954,1935"
0xInfection_TIDoS-Framework,uri.py,2,"1901,1932"
0xbug_SQLiScanner,index.js,2,"2493,2482"
AdaptixC2,utils.go,3,"586862,586708,586271"
AdaptixC2,Agent.cpp,2,"586921,585608"
AdaptixC2,pl_main.go,2,"586554,585784"
AdaptixC2,Commander.h,2,"586415,585606"
AdaptixC2,main.h,2,"586287,585619"
AdaptixC2,Commander.cpp,2,"586224,585985"
AdaptixC2,Agent.h,2,"585983,585483"
AdaptixC2,main.cpp,2,"585944,585555"
Ahref-Group_SS-Panel-smarty-Edition,index.php,5,"4527,3113,3031,3033,3045"
Ahref-Group_SS-Panel-smarty-Edition,code.php,3,"4352,3184,3037"
Ahref-Group_SS-Panel-smarty-Edition,_login.php,3,"3885,3194,3145"
Ahref-Group_SS-Panel-smarty-Edition,_main.php,3,"3692,3111,3025"
Ahref-Group_SS-Panel-smarty-Edition,_check.php,3,"3361,3155,3103"
Ahref-Group_SS-Panel-smarty-Edition,login.php,3,"3179,3151,3089"
Ahref-Group_SS-Panel-smarty-Edition,Comm.php,2,"5062,4787"
Ahref-Group_SS-Panel-smarty-Edition,pace.min.js,2,"4799,3778"
Ahref-Group_SS-Panel-smarty-Edition,jquery-2.1.1.min.js,2,"4668,3468"
Ahref-Group_SS-Panel-smarty-Edition,assp.php,2,"4531,3376"
Ahref-Group_SS-Panel-smarty-Edition,templates.js,2,"4521,4310"
Ahref-Group_SS-Panel-smarty-Edition,Medoo.php,2,"4510,4492"
Ahref-Group_SS-Panel-smarty-Edition,_code.php,2,"4505,3367"
Ahref-Group_SS-Panel-smarty-Edition,_resetpwd.php,2,"4503,3372"
Ahref-Group_SS-Panel-smarty-Edition,jquery.dataTables.min.js,2,"4391,4053"
Ahref-Group_SS-Panel-smarty-Edition,dataTables.colVis.js,2,"4373,3849"
Ahref-Group_SS-Panel-smarty-Edition,dataTables.colVis.min.js,2,"4354,3826"
Ahref-Group_SS-Panel-smarty-Edition,file-size.js,2,"4350,3832"
Ahref-Group_SS-Panel-smarty-Edition,backtotop.js,2,"4348,3818"
Ahref-Group_SS-Panel-smarty-Edition,jquery.qrcode.min.js,2,"4314,3793"
Ahref-Group_SS-Panel-smarty-Edition,materialize.js,2,"4150,3534"
Ahref-Group_SS-Panel-smarty-Edition,materialize.min.js,2,"3898,3212"
Ahref-Group_SS-Panel-smarty-Edition,Prompt_message.js,2,"3894,3208"
Ahref-Group_SS-Panel-smarty-Edition,init.js,2,"3843,3204"
Ahref-Group_SS-Panel-smarty-Edition,node.php,2,"3820,3091"
Ahref-Group_SS-Panel-smarty-Edition,_reg.php,2,"3453,3161"
Ahref-Group_SS-Panel-smarty-Edition,_resetpwdtwo.php,2,"3384,3181"
Ahref-Group_SS-Panel-smarty-Edition,resetpwd.php,2,"3382,3153"
Ahref-Group_SS-Panel-smarty-Edition,logout.php,2,"3374,3097"
Ahref-Group_SS-Panel-smarty-Edition,_assp.php,2,"3196,3167"
Ahref-Group_SS-Panel-smarty-Edition,register.php,2,"3188,3093"
Ahref-Group_SS-Panel-smarty-Edition,invite.php,2,"3177,3019"
Ahref-Group_SS-Panel-smarty-Edition,resetpwd_do.php,2,"3165,3163"
Ahref-Group_SS-Panel-smarty-Edition,my.php,2,"3157,3047"
AlanFramework,ProductionCode2.h,3,"606565,591962,591796"
AlanFramework,AssemblyInfo.cs,3,"605931,605670,605662"
AlanFramework,common.h,3,"605248,596595,590142"
AlanFramework,ProductionCode.h,3,"591958,591852,591800"
AlanFramework,TestProductionCode2.c,3,"591947,591869,591858"
AlanFramework,ProductionCode.c,3,"591938,591785,591730"
AlanFramework,ProductionCode2.c,3,"591934,591823,591819"
AlanFramework,TestProductionCode.c,3,"591900,591832,591802"
AlanFramework,rakefile_helper.rb,3,"591720,591487,590424"
AlanFramework,exe_main.c,3,"589887,588881,587751"
AlanFramework,dll_main.c,3,"589771,589462,588446"
AlanFramework,cipher.h,2,"605785,604991"
AlanFramework,cipher.c,2,"605639,595232"
AlanFramework,ecdsa.c,2,"603288,595480"
AlanFramework,debug.h,2,"601485,599926"
AlanFramework,Hacl_Curve25519.c,2,"600527,600048"
AlanFramework,Hacl_Curve25519.h,2,"599828,599535"
AlanFramework,TestProductionCode_Runner.c,2,"591976,591884"
AlanFramework,TestProductionCode2_Runner.c,2,"591917,591854"
AlanFramework,rakefile.rb,2,"591694,591020"
AlanFramework,dump_lsass.js,2,"591056,587329"
AlanFramework,dirent.h,2,"590047,587357"
AlanFramework,getopt.h,2,"589940,587372"
AlanFramework,main.c,2,"588781,587852"
AlanFramework,test.js,2,"587370,587470"
