software_name,status,repo_url
0xInfection_TIDoS-Framework,no_repo_or_empty,
0xbug_SQLiScanner,no_repo_or_empty,
AdaptixC2,has_repo,http://10.1.1.155:3000/red_team_rag/AdaptixC2
Ahref-Group_SS-Panel-smarty-Edition,no_repo_or_empty,
AlanFramework,has_repo,http://10.1.1.155:3000/red_team_rag/AlanFramework
AlessandroZ_BeRoot,no_repo_or_empty,
AlessandroZ_LaZagne,no_repo_or_empty,
AlessandroZ_LaZagneForensic,no_repo_or_empty,
Apollo,has_repo,http://10.1.1.155:3000/red_team_rag/Apollo
Arachni_arachni,no_repo_or_empty,
Ares,has_repo,http://10.1.1.155:3000/red_team_rag/Ares
AsyncRAT-C-Sharp,has_repo,http://10.1.1.155:3000/red_team_rag/AsyncRAT-C-Sharp
AtlasC2,has_repo,http://10.1.1.155:3000/red_team_rag/AtlasC2
BEAR,has_repo,http://10.1.1.155:3000/red_team_rag/BEAR
BlackHole1_WebRtcXSS,no_repo_or_empty,
BlackHole1_autoFindXssAndCsrf,no_repo_or_empty,
C2TeamServer,has_repo,http://10.1.1.155:3000/red_team_rag/C2TeamServer
C3,has_repo,http://10.1.1.155:3000/red_team_rag/C3
CHAOS,has_repo,http://10.1.1.155:3000/red_team_rag/CHAOS
Callidus,has_repo,http://10.1.1.155:3000/red_team_rag/Callidus
ConsenSys_mythril-classic,has_repo,http://10.1.1.155:3000/red_team_rag/ConsenSys_mythril-classic
CoreSecurity_impacket,no_repo_or_empty,
Covenant,has_repo,http://10.1.1.155:3000/red_team_rag/Covenant
D4Vinci_One-Lin3r,no_repo_or_empty,
DaaC2,has_repo,http://10.1.1.155:3000/red_team_rag/DaaC2
DavexPro_PocHunter,no_repo_or_empty,
DcRat,has_repo,http://10.1.1.155:3000/red_team_rag/DcRat
DeimosC2,has_repo,http://10.1.1.155:3000/red_team_rag/DeimosC2
DiscordGo,has_repo,http://10.1.1.155:3000/red_team_rag/DiscordGo
EggShell,has_repo,http://10.1.1.155:3000/red_team_rag/EggShell
Empire,has_repo,http://10.1.1.155:3000/red_team_rag/Empire
EmpireProject_Empire,no_repo_or_empty,
EmpireProject_Empire-GUI,no_repo_or_empty,
EvilOSX,has_repo,http://10.1.1.155:3000/red_team_rag/EvilOSX
GreatSCT_GreatSCT,no_repo_or_empty,
HardHatC2,has_repo,http://10.1.1.155:3000/red_team_rag/HardHatC2
Havoc,has_repo,http://10.1.1.155:3000/red_team_rag/Havoc
Heroinn,has_repo,http://10.1.1.155:3000/red_team_rag/Heroinn
Hood3dRob1n_SQLMAP-Web-GUI,no_repo_or_empty,
Ice3man543_subfinder,no_repo_or_empty,
JGillam_burp-co2,no_repo_or_empty,
Kevin-Robertson_Inveigh,no_repo_or_empty,
