2025-08-06 11:41:19.036 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 11:41:21.251 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 11:42:25.471 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 11:42:27.665 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 13:52:17.041 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 13:52:19.223 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:10:11.513 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:27:28.570 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:27:30.819 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:32:06.706 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:45:18.694 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:45:27.427 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:54:07.054 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 14:54:09.354 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:14:07.755 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:14:10.075 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:23:42.521 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:23:42.524 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:23:42.524 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:23:42.540 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:24:03.444 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:24:17.178 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:24:17.178 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:24:42.103 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:32:38.020 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:32:44.354 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:32:44.356 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:32:44.356 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:32:44.370 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:33:05.405 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:33:23.508 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:33:23.508 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:33:45.977 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:37:45.816 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:37:55.302 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:37:55.304 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:37:55.304 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:37:55.316 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:38:15.741 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:38:28.982 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:38:28.982 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:38:49.247 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:40:04.937 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:40:12.844 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:40:12.847 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:40:12.847 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:40:12.864 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:40:33.599 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:40:49.597 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:40:49.598 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:41:09.043 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:43:15.975 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:43:15.977 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:43:15.977 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:43:15.989 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:43:35.680 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:43:50.513 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:44:08.844 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:44:08.846 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:44:08.846 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:44:08.860 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:44:30.123 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:44:44.022 | INFO     | analyzer.py:120 - 分析文件技术...
